id,hip,hd,hr,gl,bf,proper,ra,dec,dist,rv,mag,absmag,spect,ci
3262,3269,3883,178,,,,.693343,24.629007,126.7427,-15.,6.06,.545,A7m,.298,
3271,3277,3980,183,,Xi  Phe,,.69621,-56.501316,67.0241,10.,5.72,1.589,Ap,.131,
3292,3299,3856,177,,,,.700953,66.147591,158.4786,-3.,5.83,-0.17,G9III-IV,1.042,
3293,3300,3901,179,,19Xi  Cas,,.701081,50.512527,438.5965,-10.,4.8,-3.41,B2.5V,-0.105,
3323,3330,4089,187,,Rho Tuc,,.707869,-65.468033,41.0341,14.,5.38,2.314,F6V,.515,
3327,3334,3924,181,,,,.708618,58.75341,336.7003,-3.,6.18,-1.456,B9.5III,-0.004,
3345,3352,4088,186,,,,.711609,-60.262806,70.8215,26.,5.99,1.739,K5III,1.318,
3347,3356,4065,185,,Lam1Scl,,.711914,-38.463482,145.1379,10.,6.05,.241,B9.5V,-0.024,
3398,3405,4150,191,,Eta Phe,,.722567,-57.463058,75.5287,2.,4.36,-0.031,A0IV,.024,
3407,3414,4058,184,,20Pi  Cas,,.724466,47.024548,53.6769,13.,4.95,1.301,A5V,.17,
3413,3419,4128,188,Gl 31,16Bet Cet,Diphda,.72649,-17.986605,29.5334,13.3,2.04,-0.312,K0III,1.019,
3429,3436,4145,190,,,,.73058,-12.011813,56.4016,-9.,6.01,2.254,K1III,1.107,
3448,3455,4188,194,,17Phi1Cet,,.7365,-10.60955,71.6332,1.,4.77,.494,K0IIIvar,.998,
3449,3456,4211,195,,Lam2Scl,,.736683,-38.421684,103.8422,27.,5.9,.818,K1III,1.144,
3471,3478,4142,189,,,,.740612,47.863983,191.2046,-60.,5.66,-0.747,B5V...,-0.113,
3481,3489,4294,199,,,,.742107,-62.497589,87.6424,-4.,6.06,1.346,F5III/IV,.446,
3496,3504,4180,193,,22Omi Cas,,.74542,48.284363,215.5172,-17.,4.48,-2.187,B5III,-0.069,
3497,3505,4247,197,Gl 31.3,,,.745666,-22.006136,26.7451,13.2,5.22,3.084,F0V,.35,
3513,3521,4293,198,,,,.749187,-42.676559,64.3915,10.,5.94,1.896,A7V,.297,
3519,3527,4304,202,,,,.749959,-53.714893,46.5983,14.,6.15,2.808,F7III,.524,
3536,3544,4222,196,,,,.754774,55.221397,98.8142,-9.,5.41,.436,A2Vs,.022,
3544,3552,4301,201,,,,.756702,-4.62916,253.8071,7.,6.15,-0.873,M0III,1.652,
3551,3559,4307,203,GJ 1020,18    Cet,,.757969,-12.88081,30.9981,-12.8,6.15,3.693,G2V,.603,
3564,3572,4161,192,,21    Cas,,.760862,74.988075,93.0233,9.,5.64,.797,A2IV,.078,
3568,3576,4338,206,,,,.761585,-16.424219,89.0472,1.8,6.47,1.722,F0IV,.314,
3575,3583,4391,209,GJ 1021,,,.76265,-47.551987,15.1584,-11.4,5.8,4.897,G5IV,.635,
3596,3604,4335,205,,,,.769669,44.861496,131.0616,.4,6.03,.443,B9.5IIIMNp.,-0.063,
3599,3607,4398,210,,,,.769929,-22.522097,93.2836,-15.,5.49,.641,G8/K0III,.978,
3624,3632,4408,211,,57    Psc,,.775822,15.475504,238.0952,-27.,5.36,-1.524,M4III,1.559,
3632,3641,4295,200,,,,.777313,69.325409,40.7498,-14.,6.39,3.339,F3V,.424,
3641,3649,4362,207,,,,.778462,59.574539,934.5794,-15.,6.41,-3.443,G0Ib,1.081,
3667,3675,4482,213,,58    Psc,,.783738,11.973849,86.8056,-1.,5.51,.817,G8II,.987,
3677,3685,4490,214,,59    Psc,,.787118,19.578703,100.6036,0,6.11,1.097,F0Vn,.27,
3685,3693,4502,215,,34Zet And,,.788981,24.267178,58.0046,-24.,4.08,.263,K1II,1.1,
3689,3697,4526,216,,60    Psc,,.789898,6.740956,141.2429,14.,5.98,.23,G8III,.941,
3709,3717,4585,218,,,,.795339,-18.061338,108.9325,2.,5.7,.514,K3III,1.3,
3713,3721,4382,208,,23    Cas,,.796119,74.847572,236.4066,-3.,5.42,-1.448,B8III,-0.066,
3733,3741,4622,220,,,,.800296,-21.722492,105.1525,21.,5.57,.461,B9V,-0.058,
3742,3750,4440,212,,,,.802487,72.674484,61.237,1.,5.86,1.925,K0IV,1.01,
3752,3760,4627,221,,62    Psc,,.804836,7.299928,177.6199,-0.7,5.92,-0.327,G8III,1.104,
3759,3765,4628,222,Gl 33,,96 G. Psc,.806382,5.280615,7.4549,-10.,5.74,6.378,K2V,.89,
3773,3781,4815,236,,Lam Hyi,,.809777,-74.923439,64.9351,-9.,5.09,1.028,K5III,1.345,
3778,3786,4656,224,,63Del Psc,,.811373,7.585079,95.4198,32.,4.44,-0.458,K5III,1.5,
3793,3801,4636,223,,25Nu  Cas,,.813892,50.968166,126.2626,9.,4.9,-0.606,B9III,-0.091,
3799,3807,4737,229,,,,.815758,-46.697647,129.5337,12.,6.28,.718,G8III,.897,
3802,3810,4676,225,Gl 34.1,64    Psc,,.816308,16.940643,23.4522,3.8,5.07,3.219,F8V...,.502,
3814,3821,4614,219,Gl 34A,24Eta Cas,,.81826,57.815186,5.9531,8.2,3.46,4.586,G0V SB,.587,
3825,3834,4732,228,,,,.82054,-24.136671,57.9039,23.,5.9,2.086,K0III,.944,
3841,3849,4730,227,,,,.823782,-13.561274,85.1064,4.,5.59,.94,K3III,1.325,
3848,3858,4772,232,,,,.825953,-23.362144,234.192,12.,6.27,-0.578,A3IV,.132,
3871,3881,4727,226,,35Nu  And,,.830234,41.078911,189.3939,-24.,4.53,-1.857,B5V SB,-0.136,
3875,3885,4757,230,,65    Psc,,.831433,27.710285,88.574,5.,5.55,.813,F5III+...,.398,
3893,3903,4849,239,,,,.834379,-43.39492,108.5776,15.,6.49,1.311,A9/F0III,.286,
3899,3909,4813,235,Gl 37,19Phi2Cet,,.835443,-10.644326,15.753,8.2,5.17,4.183,F7IV-V,.514,
3909,3919,4778,234,,,,.838403,45.002258,100.3009,2.,6.13,1.123,A0p...,.043,
3939,3949,4919,242,,Rho Phe,,.844768,-50.986816,74.239,22.,5.24,.887,F2III,.356,
3941,3951,4775,233,,,,.845442,64.247551,196.0784,3.,5.35,-1.112,A4V comp SB,.528,
3955,3965,4818,238,,,,.849263,51.508034,67.2948,2.,6.38,2.24,F2IV,.307,
3978,3988,4817,237,,,,.854551,61.805492,100000.,-6.,6.04,-13.96,K5Ib,1.88,
3982,3992,4928,243,,,,.85509,3.38502,137.931,6.,6.39,.692,K0III,1.069,
